where R = 1 L = 2
trial, day, part of day, correct direction, actual, correct? 0 for false, Number of Choices Until Correct
1, 1, a, 2, 1, 0, 2
2, 1, a, 2, 2, 1, 1
3, 1, a, 1, 2, 0, 2
4, 1, a, 2, 2, 1, 1
5, 1, a, 1, 2, 0, 2
6, 1, a, 1, 1, 1, 1
7, 1, a, 2, 1, 0, 1
8, 1, a, 2, 1, 0, 3
9, 1, b, 1, 2, 0, 2
10, 1, b, 2, 2, 1, 1
11, 1, b, 1, 2, 0, 2
12, 1, b, 2, 2, 1, 1
13, 1, b, 1, 2, 0, 2
14, 1, b, 2, 2, 1, 1
15, 1, b, 1, 1, 1, 1
16, 1, b, 1, 2, 0, 2
17, 1, b, 1, 1, 1, 1
18, 1, b, 2, 1, 0, 2
19, 2, a, 1, 2, 0, 2
20, 2, a, 2, 2, 1, 1
21, 2, a, 1, 1, 1, 1
22, 2, a, 2, 2, 1, 1
23, 2, a, 2, 2, 1, 1
24, 2, a, 1, 2, 0, 2
25, 2, a, 1, 2, 0, 2
26, 2, a, 2, 1, 0, 5
27, 2, a, 2, 1, 0, 4
28, 2, b, 1, 2, 0, 2
29, 2, b, 2, 1, 0, 2
30, 2, b, 1, 1, 1, 1
31, 2, b, 2, 2, 1, 1
32, 2, b, 1, 2, 0, 2
33, 2, b, 1, 2, 0, 3
34, 3, a, 1, 2, 0, 2
35, 3, a, 1, 1, 1, 1
36, 3, a, 2, 2, 1, 1
37, 3, a, 2, 1, 0, 2
38, 3, a, 2, 1, 0, 2
39, 3, a, 1, 1, 1, 1
40, 3, b, 1, 2, 0, 2
41, 3, b, 2, 2, 1, 1
42, 3, b, 2, 2, 1, 1
43, 3, b, 1, 2, 0, 2
44, 3, b, 2, 2, 1, 1
45, 3, b, 1, 2, 0, 2
46, 4, a, 1, 2, 0, 2
47, 4, a, 1, 2, 0, 2
48, 4, a, 2, 2, 1, 1
49, 4, a, 2, 2, 1, 1
50, 4, a, 1, 2, 0, 2
51, 4, a, 1, 2, 0, 2
52, 4, a, 1, 1, 1, 1
53, 4, b, 1, 1, 1, 1
54, 4, b, 2, 1, 0, 2
55, 4, b, 2, 2, 1, 1
56, 4, b, 1, 1, 1, 1
57, 4, b, 2, 2, 1, 1
58, 4, b, 2, 2, 1, 1
59, 5, a, 1, 2, 0, 2
60, 5, a, 2, 1, 0, 3
61, 5, a, 1, 2, 0, 2
62, 5, a, 1, 2, 0, 2
63, 5, a, 2, 1, 0, 2
64, 5, a, 2, 2, 0, 2
65, 5, b, 1, 2, 0, 2
66, 5, b, 1, 1, 1, 1
67, 5, b, 2, 1, 0, 2
68, 5, b, 2, 2, 1, 1
69, 5, b, 1, 2, 0, 2
70, 5, b, 2, 2, 1, 1
71, 5, b, 1, 1, 1, 1
72, 5, b, 2, 2, 1, 1
73, 6, a, 2, 1, 0, 1
74, 6, a, 2, 2, 1, 2
75, 6, a, 1, 1, 1, 1
76, 6, a, 2, 1, 0, 2
77, 6, a, 1, 1, 1, 1
78, 6, a, 1, 2, 0, 2
79, 6, a, 1, 1, 1, 1
80, 6, a, 2, 1, 0, 3
81, 6, b, 1, 2, 0, 2
82, 6, b, 2, 1, 0, 2
83, 6, b, 2, 1, 0, 2
84, 6, b, 1, 2, 0, 2
85, 6, b, 1, 2, 0, 2
86, 6, b, 2, 1, 0, 2
87, 6, b, 1, 1, 1, 1
88, 6, b, 2, 2, 1, 1
89, 6, b, 2, 1, 0, 2
