# where R = 1 L = 2
trial, day, part of day, forced, actual, correct? 0 for false, Number of Choices Until Correct
1, 1, a, 2, 1, 0, 3
2, 1, a, 2, 1, 0, 2
3, 1, a, 1, 1, 1, 1
4, 1, a, 2, 1, 0, 2
5, 1, a, 1, 2, 0, 2
6, 1, b, 1, 1, 1, 1
7, 1, b, 2, 1, 0, 2
8, 1, b, 1, 1, 1, 1
9, 1, b, 2, 1, 0, 2
10, 1, b, 1, 1, 1, 1
11, 1, b, 2, 1, 0, 2
12, 1, b, 2, 1, 0, 2
13, 1, b, 2, 1, 0, 2
14, 2, a, 1, 1, 1, 1
15, 2, a, 2, 1, 0, 5
16, 2, a, 1, 2, 0, 3
17, 2, a, 2, 1, 0, 3
18, 2, a, 2, 1, 0, 2
19, 2, a, 1, 2, 0, 2
20, 2, a, 1, 1, 1, 1
21, 2, b, 2, 1, 0, 2
22, 2, b, 2, 1, 0, 3
23, 2, b, 1, 1, 1, 1
24, 2, b, 2, 1, 0, 2
